id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
fe80::51c0:b0d7:fdeb:1439,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,15.021371,1470.0,0.0,S0,,,0,D,11,1998,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::e11d:2c9f:afe2:f40,5353,ff02::fb,5353,udp,dns,11.049344,279.0,0.0,S0,,,0,D,4,471,0,0,,1
::,135,ff02::1:ff80:5acd,136,icmp,,44.670276,48.0,0.0,OTH,,,0,,2,144,0,0,,1
fe80::cefa:d17:c803:a932,133,ff02::2,134,icmp,,54.006817,0.0,0.0,OTH,,,0,,6,288,0,0,,1
fe80::51c0:b0d7:fdeb:1439,5353,ff02::fb,5353,udp,dns,15.002948,1581.0,0.0,S0,,,0,D,11,2109,0,0,,1
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,189,0,0,,1
::,135,ff02::1:fff5:d907,136,icmp,,,,,OTH,,,0,,1,72,0,0,,1
fe80::1bd1:de1c:ff80:5acd,143,ff02::16,0,icmp,,136.57472,400.0,0.0,OTH,,,0,,16,1296,0,0,,1
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::b930:71ec:9376:3a38,143,ff02::16,0,icmp,,3.230751,80.0,0.0,OTH,,,0,,4,304,0,0,,1
fe80::b930:71ec:9376:3a38,133,ff02::2,134,icmp,,8.001608,0.0,0.0,OTH,,,0,,3,144,0,0,,1
fe80::a6a0:4edb:5b04:2421,133,ff02::2,134,icmp,,8.001272,0.0,0.0,OTH,,,0,,3,144,0,0,,1
fe80::fa69:1b5e:b002:b080,5353,ff02::fb,5353,udp,dns,3.002258,240.0,0.0,S0,,,0,D,5,480,0,0,,1
fe80::a0c7:7d2:ff57:a2ad,5353,ff02::fb,5353,udp,dns,3.002888,240.0,0.0,S0,,,0,D,5,480,0,0,,1
::,135,ff02::1:fff5:d907,136,icmp,,137.159954,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::9ddc:fa6a:86f5:d907,133,ff02::2,134,icmp,,144.999792,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,29.501526,2043.0,0.0,S0,,,0,D,16,2811,0,0,,1
fe80::d823:ed2f:a1be:3b98,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,14.994481,2823.0,0.0,S0,,,0,D,22,3879,0,0,,1
fe80::61a3:3a88:387c:3437,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::4425:82b3:4f44:70f,5353,ff02::fb,5353,udp,dns,15.007054,1152.0,0.0,S0,,,0,D,11,1680,0,0,,1
192.168.0.190,5353,224.0.0.251,5353,udp,dns,3.003039,117.0,0.0,S0,,,0,D,3,201,0,0,,1
fe80::1dbe:feb1:22e9:dc18,133,ff02::2,134,icmp,,94.004681,0.0,0.0,OTH,,,0,,8,384,0,0,,1
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,189,0,0,,1
fe80::b930:71ec:9376:3a38,143,ff02::16,0,icmp,,3.227393,80.0,0.0,OTH,,,0,,4,304,0,0,,1
